id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valance,tempo
2i86vR8ZQkVQGfLdJxjcJ3,0.284,0.316,5,-13.274,1,0.0298,0.893,0.00885,0.114,0.191,176.289
0wDz1vVrbkoZbS8axgiWZk,0.322,0.844,9,-6.253,0,0.106,0.0108,0.000849,0.589,0.338,136.388
58sdjRIAQkWTKxRLOEmck6,0.295,0.548,11,-5.454,1,0.0294,0.142,0.179,0.254,0.282,143.547
0ZaRCckBDL0GvmByysdN25,0.432,0.113,0,-20.6,0,0.0369,0.984,0.139,0.103,0.39,83.753
6wajAULh3C7Oqnh93IntBl,0.466,0.656,7,-10.119,1,0.0289,0.212,0.528,0.167,0.189,100.023
2dwU5i4LKYtVam5diDZBD6,0.248,0.295,4,-11.654,1,0.0287,0.903,0.945,0.193,0.299,162.382
1Mulvhgt6N8lm7N0btTYUn,0.414,0.496,4,-8.272,0,0.0414,0.669,0.00156,0.183,0.226,107.085
703hSWNgehWT0F16awNLr1,0.775,0.522,9,-10.091,1,0.0773,0.852,0.00286,0.424,0.364,127.797
0zUb5MPkQCcDxqTkXiEIud,0.812,0.427,0,-10.935,1,0.0824,0.559,3.72e-05,0.161,0.573,97.436
7wexkx5e6MEXFTxA8bOHXM,0.875,0.714,7,-8.508,1,0.0335,0.431,0.00787,0.0935,0.953,110.022
1C66plcGdXFmcWP2uwyZ7q,0.453,0.377,0,-9.376,1,0.0289,0.87,0.124,0.354,0.0749,139.914
55HxOJHsD15wWbuoym4vSx,0.689,0.46,1,-8.612,1,0.027,0.17,0.425,0.141,0.497,96.024
3eDodMWE9DfiT0YdmA1ZQb,0.573,0.662,2,-7.153,0,0.0312,0.462,4.99e-05,0.222,0.611,119.954
5pu3OAD60oYp9D2zxZNLdi,0.707,0.693,6,-8.448,1,0.0551,0.573,0.00686,0.0444,0.644,105.024
2Umz720ywwrJCewAX9Rysd,0.362,0.0163,4,-33.751,0,0.0455,0.953,0.927,0.0609,0.343,109.126
0o5Uf6q67o9zC1y4WzpmeD,0.754,0.634,10,-7.55,1,0.0618,0.783,0.0734,0.0636,0.914,141.001
4lomrPZgyfrilub7E92rdj,0.485,0.208,6,-10.049,1,0.0295,0.809,0.000147,0.138,0.136,92.942
5pQpifE8jMb6NBPQdAovS6,0.573,0.38,6,-12.223,1,0.069,0.526,6.99e-06,0.286,0.398,157.979
0eYzqP1sVy0LvAc3dL5wE0,0.667,0.37,5,-12.571,1,0.0303,0.9,0.866,0.109,0.22,115.035
6ilh0MqS2624PKIIOmxH6R,0.73,0.286,0,-11.42,1,0.0495,0.963,0.785,0.102,0.14,105.859
2Eot25c6UOeLc4jcN3fEQF,0.785,0.486,0,-10.5,1,0.065,0.144,0.498,0.158,0.79,90.989
51ksVBD22pSko3CoTpoHR4,0.537,0.234,4,-13.783,0,0.0616,0.871,0.799,0.109,0.122,74.953
51EMSRpNm9Rg5rGViVCczv,0.467,0.461,1,-7.94,0,0.0274,0.368,0.00115,0.358,0.188,131.325
09LbcaIcE3g9SMKIX2yWjB,0.603,0.889,9,-4.224,1,0.247,0.0123,0.000367,0.152,0.601,137.882
0e9ph5JgSGnHKenrSWzga8,0.759,0.823,2,-3.743,1,0.132,0.108,1.67e-05,0.086,0.79,144.135
7tdBXBfqfXSWpMaMA8QaES,0.684,0.815,8,-3.826,0,0.0496,0.322,0,0.12,0.819,138.101
43QSsuxazI8xms29SYCtxh,0.565,0.811,1,-3.745,0,0.057,0.0141,0,0.0726,0.691,87.508
21z1GxeHjfD3qkaF5CgCTO,0.436,0.934,2,-2.685,1,0.0507,1.05e-05,0.136,0.321,0.383,91.488
2zODsFCEhpGydGIs98ZAZL,0.528,0.632,3,-5.185,1,0.0291,0.00492,7.37e-06,0.0939,0.388,120.367
7jXoUqjqJVQGHDBs9ZGy08,0.52,0.657,8,-4.272,0,0.139,0.0255,0.000467,0.0567,0.826,130.013
7mrTZBfk502J2SAi8rp8jm,0.523,0.988,4,-2.982,1,0.108,0.000659,0.0014,0.299,0.226,97.491
7b5ZmnRg42LXGAprG0q9hs,0.536,0.973,7,-0.394,1,0.119,0.0099,0.666,0.112,0.822,169.989
4a7PpWQhMWEIePrVZuOUhj,0.557,0.819,9,-2.203,0,0.0617,0.142,0,0.0747,0.75,141.914
0cDSDilvrV0MhO6GPU3DoI,0.779,0.64,7,-10.58,0,0.0274,0.258,0.0953,0.116,0.397,115.038
4B0iIMQz88iQiMlRP47fJ1,0.655,0.993,2,-2.026,1,0.0861,0.508,0,0.392,0.62,93.021
1GPePbKpTssaJuAlA92G44,0.766,0.402,10,-13.93,1,0.0295,0.579,0.59,0.12,0.708,113.021
3q2pvW4oC7aCnVXHSTh45i,0.69,0.895,0,-4.01,1,0.129,0.108,0,0.0544,0.955,89.009
6JJnqVcOBfIaKXDjZqxOUv,0.647,0.98,2,-2.324,1,0.0827,0.11,2.9e-05,0.0436,0.812,149.989
0omOcC7cYT5HBBZdFzGx62,0.599,0.852,7,-2.419,1,0.0948,0.226,0,0.0341,0.661,175.301
5aWLH25dTcwrVMZOkqj6zq,0.567,0.983,5,-1.9,1,0.412,0.122,0.00174,0.318,0.302,162.681
2yEkzzxVZ4jDE0zRsEoBvO,0.591,0.939,2,-3.38,1,0.058,0.0473,0.0406,0.252,0.816,161.781
76HrzCtA3XPVrvrkfmh7Pm,0.678,0.641,0,-6.751,1,0.0396,0.554,0.00136,0.112,0.504,90.046
2pfu1oCILxjP2ijdX6PDuJ,0.641,0.932,5,-1.828,1,0.122,0.238,2.41e-06,0.0772,0.782,149.872
7glIl1Qe3E69MZV5mRJkbl,0.624,0.68,0,-6.585,0,0.0366,0.0747,2.09e-05,0.132,0.516,139.941
579avJHxDcaykcSea1kBNU,0.563,0.942,5,-3.289,0,0.0476,0.0045,3.17e-06,0.32,0.837,142.019
1B1dZcsbLB2aHipVRHC25e,0.383,0.96,7,-0.578,1,0.166,0.0189,0.0186,0.0595,0.76,144.883
3wTGLqNlD8nszqIouHeh8F,0.475,0.903,0,-3.371,1,0.0462,0.00237,0.00346,0.159,0.836,145.968
2xG6L2NnUjUgtGTK74xoFZ,0.692,0.786,10,-4.073,0,0.0464,0.0082,0,0.159,0.865,123.973
2kbbbiM2xmbdL85SALO4Ed,0.558,0.953,6,-3.092,0,0.0673,0.000363,0,0.115,0.781,122.024
1tiLTqE2HSNhqHBTh1tJ9x,0.696,0.656,7,-5.997,0,0.0349,0.199,0.000186,0.156,0.532,120.029
6Jb3bpds7blOEtZ1PC2gr1,0.548,0.727,11,-5.241,0,0.0407,0.0175,0.000193,0.427,0.454,164.962
